source-ru,target-ru,source-en,target-en,weight
Республика Ингушетия,Республика Северная Осетия — Алания,The Republic of Ingushetia,Republic of North Ossetia-Alania,1
Республика Ингушетия,Республика Татарстан,The Republic of Ingushetia,Republic of Tatarstan,1
Республика Ингушетия,Ханты-Мансийский автономный округ — Югра,The Republic of Ingushetia,Khanty-Mansiysk Autonomous Okrug - Ugra,1
Республика Калмыкия,Москва,Republic of Kalmykia,Moscow,1
Республика Калмыкия,Ненецкий автономный округ,Republic of Kalmykia,Nenets Autonomous Okrug,1
Республика Калмыкия,Республика Тыва,Republic of Kalmykia,Tyva Republic,1
Республика Северная Осетия — Алания,Кабардино-Балкарская республика,Republic of North Ossetia-Alania,Kabardino-Balkarian Republic,1
Республика Северная Осетия — Алания,Карачаево-Черкесская республика,Republic of North Ossetia-Alania,Karachay-Cherkess Republic,1
Республика Северная Осетия — Алания,Республика Дагестан,Republic of North Ossetia-Alania,The Republic of Dagestan,1
Республика Северная Осетия — Алания,Республика Ингушетия,Republic of North Ossetia-Alania,The Republic of Ingushetia,1
Республика Татарстан,Карачаево-Черкесская республика,Republic of Tatarstan,Karachay-Cherkess Republic,1
Республика Татарстан,Республика Дагестан,Republic of Tatarstan,The Republic of Dagestan,1
Республика Татарстан,Республика Ингушетия,Republic of Tatarstan,The Republic of Ingushetia,1
Республика Татарстан,Республика Тыва,Republic of Tatarstan,Tyva Republic,1
Республика Тыва,Ненецкий автономный округ,Tyva Republic,Nenets Autonomous Okrug,1
Республика Тыва,Республика Башкортостан,Tyva Republic,Republic of Bashkortostan,1
Республика Тыва,Республика Калмыкия,Tyva Republic,Republic of Kalmykia,1
Республика Тыва,Республика Татарстан,Tyva Republic,Republic of Tatarstan,1
Республика Чечня,Ханты-Мансийский автономный округ — Югра,Republic of Chechnya,Khanty-Mansiysk Autonomous Okrug - Ugra,1
Ханты-Мансийский автономный округ — Югра,Кабардино-Балкарская республика,Khanty-Mansiysk Autonomous Okrug - Ugra,Kabardino-Balkarian Republic,1
Ханты-Мансийский автономный округ — Югра,Карачаево-Черкесская республика,Khanty-Mansiysk Autonomous Okrug - Ugra,Karachay-Cherkess Republic,1
Ханты-Мансийский автономный округ — Югра,Республика Дагестан,Khanty-Mansiysk Autonomous Okrug - Ugra,The Republic of Dagestan,1
Ханты-Мансийский автономный округ — Югра,Республика Ингушетия,Khanty-Mansiysk Autonomous Okrug - Ugra,The Republic of Ingushetia,1
Ханты-Мансийский автономный округ — Югра,Республика Чечня,Khanty-Mansiysk Autonomous Okrug - Ugra,Republic of Chechnya,1
Амурская область,Республика Калмыкия,Amur region,Republic of Kalmykia,4
Архангельская область,Республика Калмыкия,Arhangelsk region,Republic of Kalmykia,4
Архангельская область,Республика Северная Осетия — Алания,Arhangelsk region,Republic of North Ossetia-Alania,4
Астраханская область,Республика Калмыкия,Astrakhan region,Republic of Kalmykia,4
Белгородская область,Республика Башкортостан,Belgorod region,Republic of Bashkortostan,4
Белгородская область,Республика Татарстан,Belgorod region,Republic of Tatarstan,4
Вологодская область,Республика Калмыкия,Vologda Region,Republic of Kalmykia,4
Еврейская автономная область,Республика Северная Осетия — Алания,Jewish Autonomous Region,Republic of North Ossetia-Alania,4
Забайкальский край,Республика Северная Осетия — Алания,Transbaikal region,Republic of North Ossetia-Alania,4
Ивановская область,Республика Калмыкия,Ivanovo region,Republic of Kalmykia,4
Кабардино-Балкарская республика,Республика Адыгея,Kabardino-Balkarian Republic,Republic of Adygea,4
Кабардино-Балкарская республика,Республика Башкортостан,Kabardino-Balkarian Republic,Republic of Bashkortostan,4
Кабардино-Балкарская республика,Республика Татарстан,Kabardino-Balkarian Republic,Republic of Tatarstan,4
Калининградская область,Республика Калмыкия,Kaliningrad region,Republic of Kalmykia,4
Калужская область,Республика Башкортостан,Kaluga region,Republic of Bashkortostan,4
Калужская область,Республика Татарстан,Kaluga region,Republic of Tatarstan,4
Карачаево-Черкесская республика,Республика Башкортостан,Karachay-Cherkess Republic,Republic of Bashkortostan,4
Кемеровская область,Республика Северная Осетия — Алания,Kemerovo region,Republic of North Ossetia-Alania,4
Кировская область,Республика Калмыкия,Kirov region,Republic of Kalmykia,4
Костромская область,Республика Калмыкия,Kostroma region,Republic of Kalmykia,4
Краснодарский край,Республика Калмыкия,Krasnodar region,Republic of Kalmykia,4
Курская область,Республика Калмыкия,Kursk region,Republic of Kalmykia,4
Липецкая область,Республика Калмыкия,Lipetsk region,Republic of Kalmykia,4
Магаданская область,Республика Калмыкия,Magadan Region,Republic of Kalmykia,4
Магаданская область,Республика Северная Осетия — Алания,Magadan Region,Republic of North Ossetia-Alania,4
Москва,Республика Башкортостан,Moscow,Republic of Bashkortostan,4
Мурманская область,Республика Калмыкия,Murmansk region,Republic of Kalmykia,4
Ненецкий автономный округ,Республика Башкортостан,Nenets Autonomous Okrug,Republic of Bashkortostan,4
Ненецкий автономный округ,Республика Северная Осетия — Алания,Nenets Autonomous Okrug,Republic of North Ossetia-Alania,4
Ненецкий автономный округ,Республика Татарстан,Nenets Autonomous Okrug,Republic of Tatarstan,4
Новгородская область,Республика Калмыкия,Novgorod region,Republic of Kalmykia,4
Новосибирская область,Республика Калмыкия,Novosibirsk region,Republic of Kalmykia,4
Приморский край,Республика Калмыкия,Primorsky Krai,Republic of Kalmykia,4
Псковская область,Республика Калмыкия,Pskov region,Republic of Kalmykia,4
Республика Адыгея,Кабардино-Балкарская республика,Republic of Adygea,Kabardino-Balkarian Republic,4
Республика Алтай,Республика Северная Осетия — Алания,Altai Republic,Republic of North Ossetia-Alania,4
Республика Башкортостан,Белгородская область,Republic of Bashkortostan,Belgorod region,4
Республика Башкортостан,Кабардино-Балкарская республика,Republic of Bashkortostan,Kabardino-Balkarian Republic,4
Республика Башкортостан,Калужская область,Republic of Bashkortostan,Kaluga region,4
Республика Башкортостан,Карачаево-Черкесская республика,Republic of Bashkortostan,Karachay-Cherkess Republic,4
Республика Башкортостан,Москва,Republic of Bashkortostan,Moscow,4
Республика Башкортостан,Ненецкий автономный округ,Republic of Bashkortostan,Nenets Autonomous Okrug,4
Республика Башкортостан,Рязанская область,Republic of Bashkortostan,Ryazan Oblast,4
Республика Башкортостан,Севастополь,Republic of Bashkortostan,Sevastopol,4
Республика Башкортостан,Тульская область,Republic of Bashkortostan,Tula region,4
Республика Бурятия,Республика Северная Осетия — Алания,The Republic of Buryatia,Republic of North Ossetia-Alania,4
Республика Калмыкия,Амурская область,Republic of Kalmykia,Amur region,4
Республика Калмыкия,Архангельская область,Republic of Kalmykia,Arhangelsk region,4
Республика Калмыкия,Астраханская область,Republic of Kalmykia,Astrakhan region,4
Республика Калмыкия,Вологодская область,Republic of Kalmykia,Vologda Region,4
Республика Калмыкия,Ивановская область,Republic of Kalmykia,Ivanovo region,4
Республика Калмыкия,Калининградская область,Republic of Kalmykia,Kaliningrad region,4
Республика Калмыкия,Кировская область,Republic of Kalmykia,Kirov region,4
Республика Калмыкия,Костромская область,Republic of Kalmykia,Kostroma region,4
Республика Калмыкия,Краснодарский край,Republic of Kalmykia,Krasnodar region,4
Республика Калмыкия,Курская область,Republic of Kalmykia,Kursk region,4
Республика Калмыкия,Липецкая область,Republic of Kalmykia,Lipetsk region,4
Республика Калмыкия,Магаданская область,Republic of Kalmykia,Magadan Region,4
Республика Калмыкия,Мурманская область,Republic of Kalmykia,Murmansk region,4
Республика Калмыкия,Новгородская область,Republic of Kalmykia,Novgorod region,4
Республика Калмыкия,Новосибирская область,Republic of Kalmykia,Novosibirsk region,4
Республика Калмыкия,Приморский край,Republic of Kalmykia,Primorsky Krai,4
Республика Калмыкия,Псковская область,Republic of Kalmykia,Pskov region,4
Республика Калмыкия,Республика Карелия,Republic of Kalmykia,Republic of Karelia,4
Республика Калмыкия,Республика Коми,Republic of Kalmykia,Komi Republic,4
Республика Калмыкия,Республика Крым,Republic of Kalmykia,Republic of Crimea,4
Республика Калмыкия,Республика Марий Эл,Republic of Kalmykia,Mari El Republic,4
Республика Калмыкия,Республика Северная Осетия — Алания,Republic of Kalmykia,Republic of North Ossetia-Alania,4
Республика Калмыкия,Республика Хакасия,Republic of Kalmykia,The Republic of Khakassia,4
Республика Калмыкия,Ростовская область,Republic of Kalmykia,Rostov region,4
Республика Калмыкия,Санкт-Петербург,Republic of Kalmykia,Saint Petersburg,4
Республика Калмыкия,Севастополь,Republic of Kalmykia,Sevastopol,4
Республика Калмыкия,Смоленская область,Republic of Kalmykia,Smolensk region,4
Республика Калмыкия,Ставропольский край,Republic of Kalmykia,Stavropol region,4
Республика Калмыкия,Тамбовская область,Republic of Kalmykia,Tambov Region,4
Республика Калмыкия,Томская область,Republic of Kalmykia,Tomsk region,4
Республика Калмыкия,Ульяновская область,Republic of Kalmykia,Ulyanovsk region,4
Республика Калмыкия,Ярославская область,Republic of Kalmykia,Yaroslavl region,4
Республика Карелия,Республика Калмыкия,Republic of Karelia,Republic of Kalmykia,4
Республика Коми,Республика Калмыкия,Komi Republic,Republic of Kalmykia,4
Республика Крым,Республика Калмыкия,Republic of Crimea,Republic of Kalmykia,4
Республика Марий Эл,Республика Калмыкия,Mari El Republic,Republic of Kalmykia,4
Республика Саха (Якутия),Республика Северная Осетия — Алания,The Republic of Sakha (Yakutia),Republic of North Ossetia-Alania,4
Республика Северная Осетия — Алания,Архангельская область,Republic of North Ossetia-Alania,Arhangelsk region,4
Республика Северная Осетия — Алания,Еврейская автономная область,Republic of North Ossetia-Alania,Jewish Autonomous Region,4
Республика Северная Осетия — Алания,Забайкальский край,Republic of North Ossetia-Alania,Transbaikal region,4
Республика Северная Осетия — Алания,Кемеровская область,Republic of North Ossetia-Alania,Kemerovo region,4
Республика Северная Осетия — Алания,Магаданская область,Republic of North Ossetia-Alania,Magadan Region,4
Республика Северная Осетия — Алания,Ненецкий автономный округ,Republic of North Ossetia-Alania,Nenets Autonomous Okrug,4
Республика Северная Осетия — Алания,Республика Алтай,Republic of North Ossetia-Alania,Altai Republic,4
Республика Северная Осетия — Алания,Республика Бурятия,Republic of North Ossetia-Alania,The Republic of Buryatia,4
Республика Северная Осетия — Алания,Республика Калмыкия,Republic of North Ossetia-Alania,Republic of Kalmykia,4
Республика Северная Осетия — Алания,Республика Саха (Якутия),Republic of North Ossetia-Alania,The Republic of Sakha (Yakutia),4
Республика Северная Осетия — Алания,Тамбовская область,Republic of North Ossetia-Alania,Tambov Region,4
Республика Татарстан,Белгородская область,Republic of Tatarstan,Belgorod region,4
Республика Татарстан,Кабардино-Балкарская республика,Republic of Tatarstan,Kabardino-Balkarian Republic,4
Республика Татарстан,Калужская область,Republic of Tatarstan,Kaluga region,4
Республика Татарстан,Ненецкий автономный округ,Republic of Tatarstan,Nenets Autonomous Okrug,4
Республика Татарстан,Рязанская область,Republic of Tatarstan,Ryazan Oblast,4
Республика Татарстан,Севастополь,Republic of Tatarstan,Sevastopol,4
Республика Татарстан,Тульская область,Republic of Tatarstan,Tula region,4
Республика Хакасия,Республика Калмыкия,The Republic of Khakassia,Republic of Kalmykia,4
Ростовская область,Республика Калмыкия,Rostov region,Republic of Kalmykia,4
Рязанская область,Республика Башкортостан,Ryazan Oblast,Republic of Bashkortostan,4
Рязанская область,Республика Татарстан,Ryazan Oblast,Republic of Tatarstan,4
Санкт-Петербург,Республика Калмыкия,Saint Petersburg,Republic of Kalmykia,4
Севастополь,Республика Башкортостан,Sevastopol,Republic of Bashkortostan,4
Севастополь,Республика Калмыкия,Sevastopol,Republic of Kalmykia,4
Севастополь,Республика Татарстан,Sevastopol,Republic of Tatarstan,4
Смоленская область,Республика Калмыкия,Smolensk region,Republic of Kalmykia,4
Ставропольский край,Республика Калмыкия,Stavropol region,Republic of Kalmykia,4
Тамбовская область,Республика Калмыкия,Tambov Region,Republic of Kalmykia,4
Тамбовская область,Республика Северная Осетия — Алания,Tambov Region,Republic of North Ossetia-Alania,4
Томская область,Республика Калмыкия,Tomsk region,Republic of Kalmykia,4
Тульская область,Республика Башкортостан,Tula region,Republic of Bashkortostan,4
Тульская область,Республика Татарстан,Tula region,Republic of Tatarstan,4
Ульяновская область,Республика Калмыкия,Ulyanovsk region,Republic of Kalmykia,4
Ярославская область,Республика Калмыкия,Yaroslavl region,Republic of Kalmykia,4
Алтайский край,Республика Калмыкия,Altai region,Republic of Kalmykia,9
Алтайский край,Республика Северная Осетия — Алания,Altai region,Republic of North Ossetia-Alania,9
Амурская область,Республика Северная Осетия — Алания,Amur region,Republic of North Ossetia-Alania,9
Астраханская область,Республика Северная Осетия — Алания,Astrakhan region,Republic of North Ossetia-Alania,9
Белгородская область,Магаданская область,Belgorod region,Magadan Region,9
Белгородская область,Республика Калмыкия,Belgorod region,Republic of Kalmykia,9
Белгородская область,Республика Саха (Якутия),Belgorod region,The Republic of Sakha (Yakutia),9
Белгородская область,Республика Северная Осетия — Алания,Belgorod region,Republic of North Ossetia-Alania,9
Брянская область,Республика Калмыкия,Bryansk region,Republic of Kalmykia,9
Брянская область,Республика Северная Осетия — Алания,Bryansk region,Republic of North Ossetia-Alania,9
Владимирская область,Республика Калмыкия,Vladimir region,Republic of Kalmykia,9
Владимирская область,Республика Северная Осетия — Алания,Vladimir region,Republic of North Ossetia-Alania,9
Волгоградская область,Республика Калмыкия,Volgograd region,Republic of Kalmykia,9
Волгоградская область,Республика Северная Осетия — Алания,Volgograd region,Republic of North Ossetia-Alania,9
Воронежская область,Магаданская область,Voronezh region,Magadan Region,9
Воронежская область,Ненецкий автономный округ,Voronezh region,Nenets Autonomous Okrug,9
Воронежская область,Республика Башкортостан,Voronezh region,Republic of Bashkortostan,9
Воронежская область,Республика Калмыкия,Voronezh region,Republic of Kalmykia,9
Воронежская область,Республика Саха (Якутия),Voronezh region,The Republic of Sakha (Yakutia),9
Воронежская область,Республика Северная Осетия — Алания,Voronezh region,Republic of North Ossetia-Alania,9
Воронежская область,Республика Татарстан,Voronezh region,Republic of Tatarstan,9
Еврейская автономная область,Республика Башкортостан,Jewish Autonomous Region,Republic of Bashkortostan,9
Еврейская автономная область,Республика Калмыкия,Jewish Autonomous Region,Republic of Kalmykia,9
Еврейская автономная область,Республика Татарстан,Jewish Autonomous Region,Republic of Tatarstan,9
Забайкальский край,Республика Калмыкия,Transbaikal region,Republic of Kalmykia,9
Ивановская область,Республика Башкортостан,Ivanovo region,Republic of Bashkortostan,9
Ивановская область,Республика Саха (Якутия),Ivanovo region,The Republic of Sakha (Yakutia),9
Ивановская область,Республика Северная Осетия — Алания,Ivanovo region,Republic of North Ossetia-Alania,9
Ивановская область,Республика Татарстан,Ivanovo region,Republic of Tatarstan,9
Иркутская область,Республика Калмыкия,Irkutsk region,Republic of Kalmykia,9
Иркутская область,Республика Северная Осетия — Алания,Irkutsk region,Republic of North Ossetia-Alania,9
Кабардино-Балкарская республика,Республика Чечня,Kabardino-Balkarian Republic,Republic of Chechnya,9
Калининградская область,Республика Северная Осетия — Алания,Kaliningrad region,Republic of North Ossetia-Alania,9
Калужская область,Республика Калмыкия,Kaluga region,Republic of Kalmykia,9
Калужская область,Республика Северная Осетия — Алания,Kaluga region,Republic of North Ossetia-Alania,9
Камчатский край,Республика Башкортостан,Kamchatka Krai,Republic of Bashkortostan,9
Камчатский край,Республика Калмыкия,Kamchatka Krai,Republic of Kalmykia,9
Камчатский край,Республика Северная Осетия — Алания,Kamchatka Krai,Republic of North Ossetia-Alania,9
Камчатский край,Республика Татарстан,Kamchatka Krai,Republic of Tatarstan,9
Карачаево-Черкесская республика,Республика Чечня,Karachay-Cherkess Republic,Republic of Chechnya,9
Кемеровская область,Республика Калмыкия,Kemerovo region,Republic of Kalmykia,9
Кировская область,Республика Саха (Якутия),Kirov region,The Republic of Sakha (Yakutia),9
Костромская область,Республика Саха (Якутия),Kostroma region,The Republic of Sakha (Yakutia),9
Красноярский край,Республика Калмыкия,Krasnoyarsk region,Republic of Kalmykia,9
Курганская область,Республика Калмыкия,Kurgan region,Republic of Kalmykia,9
Курганская область,Республика Северная Осетия — Алания,Kurgan region,Republic of North Ossetia-Alania,9
Курская область,Республика Саха (Якутия),Kursk region,The Republic of Sakha (Yakutia),9
Ленинградская область,Республика Калмыкия,Leningrad region,Republic of Kalmykia,9
Липецкая область,Республика Саха (Якутия),Lipetsk region,The Republic of Sakha (Yakutia),9
Магаданская область,Белгородская область,Magadan Region,Belgorod region,9
Магаданская область,Воронежская область,Magadan Region,Voronezh region,9
Магаданская область,Республика Башкортостан,Magadan Region,Republic of Bashkortostan,9
Магаданская область,Республика Татарстан,Magadan Region,Republic of Tatarstan,9
Магаданская область,Чукотский автономный округ,Magadan Region,Chukotka Autonomous Okrug,9
Москва,Республика Татарстан,Moscow,Republic of Tatarstan,9
Московская область,Республика Калмыкия,Moscow region,Republic of Kalmykia,9
Мурманская область,Республика Северная Осетия — Алания,Murmansk region,Republic of North Ossetia-Alania,9
Ненецкий автономный округ,Воронежская область,Nenets Autonomous Okrug,Voronezh region,9
Ненецкий автономный округ,Республика Марий Эл,Nenets Autonomous Okrug,Mari El Republic,9
Ненецкий автономный округ,Чукотский автономный округ,Nenets Autonomous Okrug,Chukotka Autonomous Okrug,9
Нижегородская область,Республика Башкортостан,Nizhny Novgorod Region,Republic of Bashkortostan,9
Нижегородская область,Республика Калмыкия,Nizhny Novgorod Region,Republic of Kalmykia,9
Нижегородская область,Республика Татарстан,Nizhny Novgorod Region,Republic of Tatarstan,9
Новгородская область,Республика Северная Осетия — Алания,Novgorod region,Republic of North Ossetia-Alania,9
Новосибирская область,Республика Башкортостан,Novosibirsk region,Republic of Bashkortostan,9
Новосибирская область,Республика Северная Осетия — Алания,Novosibirsk region,Republic of North Ossetia-Alania,9
Новосибирская область,Республика Татарстан,Novosibirsk region,Republic of Tatarstan,9
Омская область,Республика Калмыкия,Omsk region,Republic of Kalmykia,9
Омская область,Республика Северная Осетия — Алания,Omsk region,Republic of North Ossetia-Alania,9
Оренбургская область,Республика Калмыкия,Orenburg region,Republic of Kalmykia,9
Оренбургская область,Республика Северная Осетия — Алания,Orenburg region,Republic of North Ossetia-Alania,9
Орловская область,Республика Калмыкия,Oryol Region,Republic of Kalmykia,9
Орловская область,Республика Северная Осетия — Алания,Oryol Region,Republic of North Ossetia-Alania,9
Пензенская область,Республика Калмыкия,Penza region,Republic of Kalmykia,9
Пермский край,Республика Калмыкия,Perm region,Republic of Kalmykia,9
Приморский край,Республика Северная Осетия — Алания,Primorsky Krai,Republic of North Ossetia-Alania,9
Псковская область,Республика Саха (Якутия),Pskov region,The Republic of Sakha (Yakutia),9
Республика Адыгея,Республика Калмыкия,Republic of Adygea,Republic of Kalmykia,9
Республика Адыгея,Республика Северная Осетия — Алания,Republic of Adygea,Republic of North Ossetia-Alania,9
Республика Алтай,Республика Калмыкия,Altai Republic,Republic of Kalmykia,9
Республика Башкортостан,Воронежская область,Republic of Bashkortostan,Voronezh region,9
Республика Башкортостан,Еврейская автономная область,Republic of Bashkortostan,Jewish Autonomous Region,9
Республика Башкортостан,Ивановская область,Republic of Bashkortostan,Ivanovo region,9
Республика Башкортостан,Камчатский край,Republic of Bashkortostan,Kamchatka Krai,9
Республика Башкортостан,Магаданская область,Republic of Bashkortostan,Magadan Region,9
Республика Башкортостан,Нижегородская область,Republic of Bashkortostan,Nizhny Novgorod Region,9
Республика Башкортостан,Новосибирская область,Republic of Bashkortostan,Novosibirsk region,9
Республика Башкортостан,Республика Калмыкия,Republic of Bashkortostan,Republic of Kalmykia,9
Республика Башкортостан,Республика Северная Осетия — Алания,Republic of Bashkortostan,Republic of North Ossetia-Alania,9
Республика Башкортостан,Ростовская область,Republic of Bashkortostan,Rostov region,9
Республика Башкортостан,Санкт-Петербург,Republic of Bashkortostan,Saint Petersburg,9
Республика Башкортостан,Тамбовская область,Republic of Bashkortostan,Tambov Region,9
Республика Башкортостан,Томская область,Republic of Bashkortostan,Tomsk region,9
Республика Башкортостан,Ханты-Мансийский автономный округ — Югра,Republic of Bashkortostan,Khanty-Mansiysk Autonomous Okrug - Ugra,9
Республика Башкортостан,Чукотский автономный округ,Republic of Bashkortostan,Chukotka Autonomous Okrug,9
Республика Бурятия,Республика Калмыкия,The Republic of Buryatia,Republic of Kalmykia,9
Республика Калмыкия,Алтайский край,Republic of Kalmykia,Altai region,9
Республика Калмыкия,Белгородская область,Republic of Kalmykia,Belgorod region,9
Республика Калмыкия,Брянская область,Republic of Kalmykia,Bryansk region,9
Республика Калмыкия,Владимирская область,Republic of Kalmykia,Vladimir region,9
Республика Калмыкия,Волгоградская область,Republic of Kalmykia,Volgograd region,9
Республика Калмыкия,Воронежская область,Republic of Kalmykia,Voronezh region,9
Республика Калмыкия,Еврейская автономная область,Republic of Kalmykia,Jewish Autonomous Region,9
Республика Калмыкия,Забайкальский край,Republic of Kalmykia,Transbaikal region,9
Республика Калмыкия,Иркутская область,Republic of Kalmykia,Irkutsk region,9
Республика Калмыкия,Калужская область,Republic of Kalmykia,Kaluga region,9
Республика Калмыкия,Камчатский край,Republic of Kalmykia,Kamchatka Krai,9
Республика Калмыкия,Кемеровская область,Republic of Kalmykia,Kemerovo region,9
Республика Калмыкия,Красноярский край,Republic of Kalmykia,Krasnoyarsk region,9
Республика Калмыкия,Курганская область,Republic of Kalmykia,Kurgan region,9
Республика Калмыкия,Ленинградская область,Republic of Kalmykia,Leningrad region,9
Республика Калмыкия,Московская область,Republic of Kalmykia,Moscow region,9
Республика Калмыкия,Нижегородская область,Republic of Kalmykia,Nizhny Novgorod Region,9
Республика Калмыкия,Омская область,Republic of Kalmykia,Omsk region,9
Республика Калмыкия,Оренбургская область,Republic of Kalmykia,Orenburg region,9
Республика Калмыкия,Орловская область,Republic of Kalmykia,Oryol Region,9
Республика Калмыкия,Пензенская область,Republic of Kalmykia,Penza region,9
Республика Калмыкия,Пермский край,Republic of Kalmykia,Perm region,9
Республика Калмыкия,Республика Адыгея,Republic of Kalmykia,Republic of Adygea,9
Республика Калмыкия,Республика Алтай,Republic of Kalmykia,Altai Republic,9
Республика Калмыкия,Республика Башкортостан,Republic of Kalmykia,Republic of Bashkortostan,9
Республика Калмыкия,Республика Бурятия,Republic of Kalmykia,The Republic of Buryatia,9
Республика Калмыкия,Республика Мордовия,Republic of Kalmykia,The Republic of Mordovia,9
Республика Калмыкия,Республика Татарстан,Republic of Kalmykia,Republic of Tatarstan,9
Республика Калмыкия,Рязанская область,Republic of Kalmykia,Ryazan Oblast,9
Республика Калмыкия,Самарская область,Republic of Kalmykia,Samara Region,9
Республика Калмыкия,Саратовская область,Republic of Kalmykia,Saratov region,9
Республика Калмыкия,Сахалинская область,Republic of Kalmykia,Sakhalin region,9
Республика Калмыкия,Свердловская область,Republic of Kalmykia,Sverdlovsk region,9
Республика Калмыкия,Тверская область,Republic of Kalmykia,Tver region,9
Республика Калмыкия,Тульская область,Republic of Kalmykia,Tula region,9
Республика Калмыкия,Тюменская область,Republic of Kalmykia,Tyumen region,9
Республика Калмыкия,Удмуртская область,Republic of Kalmykia,Udmurt region,9
Республика Калмыкия,Хабаровский край,Republic of Kalmykia,Khabarovsk region,9
Республика Калмыкия,Ханты-Мансийский автономный округ — Югра,Republic of Kalmykia,Khanty-Mansiysk Autonomous Okrug - Ugra,9
Республика Калмыкия,Челябинская область,Republic of Kalmykia,Chelyabinsk region,9
Республика Калмыкия,Чувашская республика,Republic of Kalmykia,Chuvash Republic,9
Республика Калмыкия,Чукотский автономный округ,Republic of Kalmykia,Chukotka Autonomous Okrug,9
Республика Калмыкия,Ямало-Ненецкий автономный округ,Republic of Kalmykia,Yamalo-Nenets Autonomous Okrug,9
Республика Коми,Республика Северная Осетия — Алания,Komi Republic,Republic of North Ossetia-Alania,9
Республика Марий Эл,Ненецкий автономный округ,Mari El Republic,Nenets Autonomous Okrug,9
Республика Марий Эл,Республика Саха (Якутия),Mari El Republic,The Republic of Sakha (Yakutia),9
Республика Мордовия,Республика Калмыкия,The Republic of Mordovia,Republic of Kalmykia,9
Республика Мордовия,Республика Северная Осетия — Алания,The Republic of Mordovia,Republic of North Ossetia-Alania,9
Республика Саха (Якутия),Белгородская область,The Republic of Sakha (Yakutia),Belgorod region,9
Республика Саха (Якутия),Воронежская область,The Republic of Sakha (Yakutia),Voronezh region,9
Республика Саха (Якутия),Ивановская область,The Republic of Sakha (Yakutia),Ivanovo region,9
Республика Саха (Якутия),Кировская область,The Republic of Sakha (Yakutia),Kirov region,9
Республика Саха (Якутия),Костромская область,The Republic of Sakha (Yakutia),Kostroma region,9
Республика Саха (Якутия),Курская область,The Republic of Sakha (Yakutia),Kursk region,9
Республика Саха (Якутия),Липецкая область,The Republic of Sakha (Yakutia),Lipetsk region,9
Республика Саха (Якутия),Псковская область,The Republic of Sakha (Yakutia),Pskov region,9
Республика Саха (Якутия),Республика Марий Эл,The Republic of Sakha (Yakutia),Mari El Republic,9
Республика Северная Осетия — Алания,Алтайский край,Republic of North Ossetia-Alania,Altai region,9
Республика Северная Осетия — Алания,Амурская область,Republic of North Ossetia-Alania,Amur region,9
Республика Северная Осетия — Алания,Астраханская область,Republic of North Ossetia-Alania,Astrakhan region,9
Республика Северная Осетия — Алания,Белгородская область,Republic of North Ossetia-Alania,Belgorod region,9
Республика Северная Осетия — Алания,Брянская область,Republic of North Ossetia-Alania,Bryansk region,9
Республика Северная Осетия — Алания,Владимирская область,Republic of North Ossetia-Alania,Vladimir region,9
Республика Северная Осетия — Алания,Волгоградская область,Republic of North Ossetia-Alania,Volgograd region,9
Республика Северная Осетия — Алания,Воронежская область,Republic of North Ossetia-Alania,Voronezh region,9
